name,location,price,area,bhk
NEW VILLAS,"3 Bedroom House in Hastinapuram, Chromepet",₹1.5 Cr,"1,121 sqft",3 BHK
New villa,"3 Bedroom House in Sembakkam, Chennai",₹1.4 Cr,900 sqft,3 BHK
"Red Hills, Chennai, Chennai North","2 Bedroom House in Red Hills, Chennai",₹41.95 Lac,"1,001 sqft",2 BHK
New Flat,"3 BHK Flat in Kolathur, Chennai",₹84.95 Lac,"1,204 sqft",3 BHK
on request,"3 BHK Flat in Kolathur, Chennai",₹85 Lac,"1,203 sqft",3 BHK
"Brigade Xanadu
4.0","1 BHK Flat in Mogappair, Chennai",₹60 Lac,682 sqft,1 BHK
hiliving royal evita,"2 BHK Flat in Madhavaram, Chennai",₹75 Lac,962 sqft,2 BHK
Godrej Azure,"2 BHK Flat in Padur, Chennai",₹67 Lac,"1,026 sqft",2 BHK
Urbanrise Revolution One,"1 BHK Flat in Padur, Chennai",₹36 Lac,525 sqft,1 BHK
Godrej Azure,"2 BHK Flat in Padur, Chennai",₹45 Lac,621 sqft,2 BHK
"Jains Inseli Park
4.0","3 BHK Flat in Padur, Chennai",₹75 Lac,"1,494 sqft",3 BHK
"Gerugambakkam, Chennai, Chennai South","2 Bedroom House in Gerugambakkam, Chennai",₹1.15 Cr,"1,175 sqft",2 BHK
"Gerugambakkam, Chennai, Chennai South","2 Bedroom House in Gerugambakkam, Chennai",₹1.15 Cr,"1,175 sqft",2 BHK
"Kovur, Chennai, Chennai South","2 Bedroom House in Kovur, Chennai",₹95 Lac,"1,064 sqft",2 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹1.6 Cr,960 sqft,3 BHK
"Kelambakkam, Chennai, Chennai South","3 Bedroom House in Kelambakkam, Chennai",₹79 Lac,"1,420 sqft",3 BHK
"Gowriwakkam,Sembakkam, Chennai, Chennai South","3 BHK Builder Floor in Gowriwakkam,Sembakkam, Chennai",₹80 Lac,"1,310 sqft",3 BHK
"Vadaperumbakkam, Chennai, Chennai North","2 Bedroom House in Vadaperumbakkam, Chennai",₹42 Lac,600 sqft,2 BHK
"Gerugambakkam, Chennai, Chennai South","2 Bedroom House in Gerugambakkam, Chennai",₹65 Lac,600 sqft,2 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹90 Lac,700 sqft,3 BHK
